"DOY","Red_1","Red_2","Red_3","Red_4","Red_5","Red_6","Red_7","Red_8","Red_9","Red_10"
2023154,NA,0.078412119511853,NA,NA,NA,0.498555234496555,NA,NA,NA,NA
2023156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023162,NA,0.423337315810434,NA,NA,NA,0.871024219433907,NA,NA,NA,NA
2023163,0.912081984897519,0.359724612736661,0.0170343479475008,0.818078129455375,0.683503359044539,0.82559456398641,0.86469747498809,0.901400862068966,0.905999447055571,0.900613855597778
2023164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023170,NA,0.293920335429769,NA,NA,NA,0.852625937834941,NA,NA,NA,NA
2023171,0.383227530905446,0.432350718065004,0.804039934989552,0.782140107775212,0.896952104499274,0.817346663064037,0.873547689813564,0.846009389671361,0.869855967078189,0.872642664707323
2023172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023178,NA,0.43204252088079,NA,NA,NA,0.910607866507747,NA,NA,NA,NA
2023180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023186,NA,0.117239101717305,NA,NA,NA,0.89545573942737,NA,NA,NA,NA
2023187,0.870252287219296,0.419330575404287,0.868406742794997,0.823461091753775,0.907976878612717,0.843060597598436,0.886653442901672,0.865044888502751,0.876185164528723,0.887523887523887
2023188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023194,NA,0.249130938586327,NA,NA,NA,0.890962962962963,NA,NA,NA,NA
2023195,0.889508362899138,0.402373247033441,0.881688625974724,0.0404185742315239,0.907154821727686,0.779806362378976,0.894349540078844,0.819966348850252,0.895510204081633,0.89929559092095
2023196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023202,NA,0.0342548076923077,NA,NA,NA,0.0369945511901347,NA,NA,NA,NA
2023203,0.872432954820005,0.431276526281423,0.0967992995427571,0.784143518518518,0.881396461023434,0.803846153846154,0.878265553460813,0.788135593220339,0.612993559227107,0.875506445672192
2023204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023210,NA,0.155443322109989,NA,NA,NA,0.370642201834862,NA,NA,NA,NA
2023211,0.208615165539338,0.425768476128188,0.896495071193867,0.136150234741784,0.936666666666667,0.870950027457441,0.899626268019221,0.89889599070308,0.900656580074222,0.910494634912327
2023212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023218,NA,0.464098073555166,NA,NA,NA,0.883413123063926,NA,NA,NA,NA
2023219,0.916146743199401,0.431461457970003,0.896918461958004,0.833054159687326,0.338811630847029,0.875159887439243,0.919052319842053,0.897335203366059,0.912427897220766,0.915880703543207
2023220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023226,NA,0.33729216152019,NA,NA,NA,0.840353460972018,NA,NA,NA,NA
2023227,0.882209783402288,0.395127118644068,0.849907063197026,0.331063829787234,0.910290237467019,0.852611940298507,0.0557712963728001,0.885729331226962,0.0628144315078338,0.540246555474982
2023228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023234,NA,0.386684599865501,NA,NA,NA,0.781160252728317,NA,NA,NA,NA
2023235,0.0438410074773711,0.404487179487179,0.887330639410506,0.843808504947847,0.923132012413464,0.857721518987342,0.901186728021312,0.776716117676641,0.89257198161142,0.894500561167228
2023236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023242,NA,-0.0348152991173586,NA,NA,NA,-0.0279076161671708,NA,NA,NA,NA
