"DOY","White_1","White_2","White_3","White_4","White_5","White_6","White_7","White_8","White_9","White_10"
2023106,0.717217056748958,0.77970297029703,0.869649805447471,0.81281115167607,0.881660288489844,0.801414079311405,0.751683501683502,NA,NA,0.786616161616162
2023107,-0.0251396648044693,0.776367961934972,0.0240634141738228,0.808190772420944,0.80751799520128,-0.0234292549074791,0.130540009075783,0.73126079447323,0.704620462046205,0.877586966094232
2023108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023114,0.475570832310336,0.782456140350877,0.261401125557927,0.034008478568064,NA,0.549104983067247,0.141375629098673,NA,NA,0.0152325392967104
2023115,0.422741975615825,0.786231884057971,0.394970414201183,0.294415255886359,0.217923339931618,0.462454212454212,0.280349692032585,0.117229129662522,0.556281407035176,0.852705410821643
2023116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023122,0.712054329371817,0.779156327543424,0.855979146301727,0.797217928902628,0.867440439828955,0.790337859172719,0.727423363711682,NA,NA,0.845075125208681
2023123,0.393681043129388,0.754047802621434,0.830306825297433,0.760703147150553,0.846647646219686,0.463128876636802,0.695244956772334,0.209369221286213,0.896619167365186,0.831492584411486
2023124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023130,0.681847755367599,0.75,0.41631896152063,0.193874425727412,NA,0.782091421415153,0.715160796324656,NA,NA,0.84823677581864
2023131,0.682057638673691,0.736187845303867,0.852435112277632,0.318106035345115,0.854498044328553,0.764048432163924,0.551392141556076,0.0654511453950444,0.905552918841956,0.842105263157895
2023132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023138,0.713630406290957,0.760528488852188,0.845751633986928,0.793947198969736,NA,0.782940996637114,0.734958710184821,NA,NA,0.842285004656939
2023139,0.727222222222222,0.0119162021910436,0.860745614035088,0.293140028288543,0.944856839872746,0.768870380010411,0.210386360081339,0.724159597863651,0.922809053975624,0.591873589164786
2023140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
